timestamp,pair,rate,base
2026-05-01 21:30:36,USD/SAR,3.75,USD
2026-05-01 21:30:36,USD/GBP,0.737561,USD
2026-05-01 21:30:36,USD/MXN,17.502106,USD
2026-05-01 21:30:36,USD/IRR,1233794.062752,USD
2026-05-01 21:30:36,USD/INR,94.978597,USD
2026-05-01 21:30:36,USD/NOK,9.291767,USD
2026-05-01 21:30:36,USD/AED,3.6725,USD
2026-05-01 21:30:36,USD/CNY,6.840908,USD
2026-05-01 21:30:36,USD/EUR,0.853339,USD
2026-05-01 21:30:36,USD/BRL,4.990919,USD
2026-05-01 21:30:36,USD/JPY,157.16387,USD
2026-05-01 21:30:36,USD/PHP,61.435668,USD
2026-05-01 21:30:36,USD/IDR,17308.21837,USD
2026-05-01 21:30:36,USD/KRW,1475.699372,USD
2026-05-01 22:00:36,USD/IRR,1233794.062752,USD
2026-05-01 22:00:36,USD/NOK,9.291767,USD
2026-05-01 22:00:36,USD/KWD,0.307958,USD
2026-05-01 22:00:36,USD/CNY,6.840908,USD
2026-05-01 22:00:36,USD/CAD,1.361227,USD
2026-05-01 22:00:36,USD/GBP,0.737561,USD
2026-05-01 22:00:36,USD/KRW,1475.699372,USD
2026-05-01 22:00:36,USD/PHP,61.435668,USD
2026-05-01 22:00:36,USD/JPY,157.16387,USD
2026-05-01 22:00:36,USD/AED,3.6725,USD
2026-05-01 22:00:36,USD/IDR,17308.21837,USD
2026-05-01 22:00:36,USD/SAR,3.75,USD
2026-05-01 22:00:36,USD/INR,94.978597,USD
2026-05-01 22:00:36,USD/EUR,0.853339,USD
2026-05-01 22:00:36,USD/BRL,4.990919,USD
2026-05-01 22:00:36,USD/MXN,17.502106,USD
2026-05-01 22:30:06,USD/INR,94.978597,USD
2026-05-01 22:30:06,USD/IDR,17308.21837,USD
2026-05-01 22:30:06,USD/EUR,0.853339,USD
2026-05-01 22:30:06,USD/GBP,0.737561,USD
2026-05-01 22:30:06,USD/NOK,9.291767,USD
2026-05-01 22:30:06,USD/PHP,61.435668,USD
2026-05-01 22:30:06,USD/BRL,4.990919,USD
2026-05-01 22:30:06,USD/SAR,3.75,USD
2026-05-01 22:30:06,USD/AED,3.6725,USD
2026-05-01 22:30:06,USD/IRR,1233794.062752,USD
2026-05-01 22:30:06,USD/CAD,1.361227,USD
2026-05-01 22:30:06,USD/MXN,17.502106,USD
2026-05-01 22:30:06,USD/CNY,6.840908,USD
2026-05-01 22:30:06,USD/KWD,0.307958,USD
2026-05-01 22:30:06,USD/KRW,1475.699372,USD
2026-05-01 22:30:06,USD/JPY,157.16387,USD
2026-05-01 22:55:02,USD/GBP,0.737561,USD
2026-05-01 22:55:02,USD/JPY,157.16387,USD
2026-05-01 22:55:02,USD/INR,94.978597,USD
2026-05-01 22:55:02,USD/IDR,17308.21837,USD
2026-05-01 22:55:02,USD/KRW,1475.699372,USD
2026-05-01 22:55:02,USD/PHP,61.435668,USD
2026-05-01 22:55:02,USD/CAD,1.361227,USD
2026-05-01 22:55:02,USD/KWD,0.307958,USD
2026-05-01 22:55:02,USD/AED,3.6725,USD
2026-05-01 22:55:02,USD/SAR,3.75,USD
2026-05-01 22:55:02,USD/NOK,9.291767,USD
2026-05-01 22:55:02,USD/IRR,1233794.062752,USD
2026-05-01 22:55:02,USD/CNY,6.840908,USD
2026-05-01 22:55:02,USD/MXN,17.502106,USD
2026-05-01 22:55:02,USD/EUR,0.853339,USD
2026-05-01 22:55:02,USD/BRL,4.990919,USD
2026-05-01 23:23:28,USD/CNY,6.840908,USD
2026-05-01 23:23:28,USD/NOK,9.291767,USD
2026-05-01 23:23:28,USD/KWD,0.307958,USD
2026-05-01 23:23:28,USD/MXN,17.502106,USD
2026-05-01 23:23:28,USD/KRW,1475.699372,USD
2026-05-01 23:23:28,USD/GBP,0.737561,USD
2026-05-01 23:23:28,USD/BRL,4.990919,USD
2026-05-01 23:23:28,USD/CAD,1.361227,USD
2026-05-01 23:23:28,USD/JPY,157.16387,USD
2026-05-01 23:23:28,USD/IRR,1233794.062752,USD
2026-05-01 23:23:28,USD/EUR,0.853339,USD
2026-05-01 23:23:28,USD/AED,3.6725,USD
2026-05-01 23:23:28,USD/INR,94.978597,USD
2026-05-01 23:23:28,USD/SAR,3.75,USD
2026-05-01 23:23:28,USD/IDR,17308.21837,USD
2026-05-01 23:23:28,USD/PHP,61.435668,USD
